player_id,session_id,session_date,mode,map_name,weapon_primary,kills,deaths,assists,accuracy,win,score,session_duration_min,rank,prestige_level,sessions_last_7d,avg_kd_ratio,hours_played_total,microtransactions_usd,region,device,returned_next_day,ab_group
275203,14,2025-12-10 17:00:00,Search & Destroy,Terminal,M4,12,4,1,0.208,1,1370,11.4,Silver,0,5,2.6,116.6,0.0,APAC,Console,0,B
291335,15,2025-02-17 01:00:00,Battle Royale,Rust,MP5,14,18,1,0.216,1,1290,12.9,Gold,1,7,0.79,135.3,21.0,,Console,0,A
378167,16,2025-02-26 09:00:00,Team Deathmatch,Favela,Sniper,13,5,1,0.26,1,1450,19.2,Bronze,0,8,2.33,210.3,0.0,EU,Console,1,A
141090,17,2025-02-01 23:00:00,Team Deathmatch,Shipment,M4,23,16,3,0.29,1,2330,7.7,Gold,0,5,1.41,180.0,0.0,,PC,0,A
429365,18,2025-06-12 07:00:00,Search & Destroy,Verdansk,M4,10,9,2,0.215,1,1120,13.3,Bronze,0,5,1.1,166.8,0.0,EU,Console,1,B
164820,19,2025-05-24 22:00:00,Hardpoint,Shipment,MP5,16,12,3,0.17,1,1710,15.2,Silver,2,6,1.31,227.3,0.0,,PC,0,B
887201,20,2025-11-02 09:00:00,Battle Royale,Rust,AK-47,10,7,2,0.372,0,960,15.0,Diamond,1,5,1.38,90.3,4.79,,PC,1,A
421879,21,2025-03-16 14:00:00,Team Deathmatch,Terminal,MP5,10,12,0,0.192,1,960,16.5,Silver,0,7,0.85,174.7,0.0,APAC,Console,1,A
818315,22,2025-02-06 21:00:00,Hardpoint,Terminal,M4,14,7,3,0.353,0,1410,12.0,Gold,2,6,1.88,198.9,4.07,APAC,PC,0,B
427069,23,2025-11-19 06:00:00,Hardpoint,Rust,Sniper,15,13,2,0.185,1,1540,11.9,Gold,0,6,1.14,97.7,0.0,APAC,Console,1,B
876997,24,2025-06-12 18:00:00,Team Deathmatch,Verdansk,MP5,19,9,2,0.226,0,1820,12.7,Silver,1,7,2.0,177.3,0.74,,Console,0,B
299041,25,2025-07-07 04:00:00,Hardpoint,Highrise,Sniper,11,4,3,0.266,0,1170,12.0,Silver,1,12,2.4,75.2,0.0,,PC,0,B
891743,26,2025-03-28 09:00:00,Hardpoint,Highrise,AK-47,12,8,3,0.463,0,1190,8.9,Platinum,1,5,1.44,93.1,3.82,EU,PC,0,B
203355,27,2025-01-14 00:00:00,Team Deathmatch,Favela,AK-47,16,19,3,0.295,0,1370,12.8,Bronze,0,4,0.85,181.9,0.0,LATAM,PC,1,A
335796,28,2025-09-19 05:00:00,Team Deathmatch,Highrise,Shotgun,13,11,4,0.301,0,1280,14.0,Platinum,3,5,1.17,106.4,0.0,APAC,PC,1,B
314176,29,2025-08-10 13:00:00,Hardpoint,Highrise,Sniper,15,14,5,0.269,0,1470,9.8,Gold,0,6,1.07,137.3,0.0,EU,Console,0,A
284779,30,2025-02-03 18:00:00,Domination,Terminal,MP5,10,10,1,0.209,1,1050,13.9,Diamond,4,7,1.0,102.6,8.87,,Console,0,B
447449,31,2025-10-13 01:00:00,Battle Royale,Rust,Sniper,13,9,1,0.335,1,1370,9.1,Gold,0,2,1.4,73.0,0.0,EU,PC,0,B
521909,32,2025-03-26 16:00:00,Domination,Shipment,M4,12,11,4,0.282,1,1380,10.7,Silver,0,6,1.08,131.0,0.0,,PC,0,A
358795,33,2025-10-25 01:00:00,Team Deathmatch,Terminal,Shotgun,17,7,3,0.393,0,1710,11.4,Platinum,0,3,2.25,78.6,0.0,EU,PC,0,A
586232,34,2025-04-23 17:00:00,Battle Royale,Highrise,Sniper,11,10,0,0.188,0,900,16.3,Silver,4,4,1.09,5.0,12.57,,PC,0,A
600186,35,2025-03-31 11:00:00,Battle Royale,Favela,MP5,15,8,2,0.387,0,1440,13.2,Gold,0,2,1.78,204.3,0.0,APAC,Console,1,B
256730,36,2025-01-26 15:00:00,Team Deathmatch,Favela,LMG,11,9,3,0.299,0,1070,15.3,Gold,1,5,1.2,116.3,7.48,,PC,0,B
970910,37,2025-02-09 11:00:00,Search & Destroy,Shipment,M4,20,9,3,0.217,1,2170,13.0,Silver,1,8,2.1,76.4,8.96,EU,Console,1,A
484681,38,2025-08-25 13:00:00,Team Deathmatch,Shipment,Sniper,16,9,3,0.304,1,1770,14.0,Platinum,0,4,1.7,119.1,0.0,,Console,1,B
249503,39,2025-07-13 19:00:00,Team Deathmatch,Terminal,LMG,8,10,4,0.215,1,1000,11.0,Platinum,1,7,0.82,5.0,5.76,EU,PC,0,A
754811,40,2025-11-24 18:00:00,Team Deathmatch,Highrise,AK-47,14,19,4,0.376,1,1420,12.1,Platinum,2,4,0.75,27.2,0.99,,PC,0,A
627035,41,2025-03-25 21:00:00,Team Deathmatch,Terminal,M4,11,10,3,0.271,1,1250,16.0,Diamond,0,8,1.09,85.2,0.0,,Console,0,A
748143,42,2025-06-04 01:00:00,Search & Destroy,Highrise,Sniper,12,9,2,0.216,0,1120,6.0,Platinum,0,6,1.3,94.2,0.0,,PC,0,A
552366,43,2025-01-21 10:00:00,Search & Destroy,Shipment,M4,16,10,4,0.236,0,1600,12.0,Gold,0,8,1.55,132.5,0.0,,Console,0,B
165725,44,2025-07-01 06:00:00,Battle Royale,Favela,Shotgun,15,10,2,0.217,0,1400,12.7,Bronze,5,4,1.45,140.0,2.04,LATAM,PC,0,A
229981,45,2025-04-12 04:00:00,Search & Destroy,Favela,M4,14,7,4,0.403,1,1660,14.1,Gold,3,8,1.88,166.3,0.99,,PC,0,A
184654,46,2025-07-27 19:00:00,Domination,Highrise,Sniper,15,8,2,0.19,1,1640,12.8,Bronze,0,4,1.78,154.5,0.0,,PC,0,B
691723,47,2025-12-30 21:00:00,Hardpoint,Shipment,AK-47,14,17,2,0.275,1,1360,12.4,Gold,3,5,0.83,18.6,1.79,APAC,PC,1,B
419030,48,2025-07-25 00:00:00,Battle Royale,Rust,M4,7,8,3,0.301,0,690,7.9,Platinum,4,4,0.89,50.9,0.0,,PC,0,B
428947,49,2025-05-02 22:00:00,Search & Destroy,Rust,LMG,13,12,2,0.245,0,1160,9.9,Bronze,1,7,1.08,134.3,0.84,APAC,Console,0,B
655839,50,2025-10-31 10:00:00,Search & Destroy,Highrise,Sniper,13,9,3,0.172,1,1470,17.1,Bronze,2,9,1.4,55.7,0.22,,PC,0,B
373538,51,2025-07-02 08:00:00,Battle Royale,Shipment,AK-47,13,18,0,0.447,1,1140,18.6,Bronze,1,8,0.74,25.2,0.44,APAC,Console,0,B
431236,52,2025-07-22 20:00:00,Team Deathmatch,Shipment,AK-47,14,14,2,0.254,0,1220,14.8,Diamond,0,6,1.0,189.6,0.0,,PC,0,A
628178,53,2025-10-19 02:00:00,Search & Destroy,Favela,Sniper,15,7,4,0.175,1,1760,8.9,Silver,0,7,2.0,43.3,0.0,,PC,1,B
665894,54,2025-10-13 22:00:00,Battle Royale,Favela,Shotgun,15,8,4,0.218,0,1540,15.5,Gold,0,11,1.78,143.5,0.0,APAC,PC,1,B
589492,55,2025-07-04 07:00:00,Battle Royale,Verdansk,Sniper,12,12,3,0.29,1,1310,14.8,Silver,3,10,1.0,240.2,1.85,EU,PC,0,A
356840,56,2025-10-14 06:00:00,Team Deathmatch,Highrise,Sniper,14,9,2,0.266,1,1520,9.0,Silver,1,4,1.5,55.1,0.31,EU,Console,1,A
573254,57,2025-12-06 23:00:00,Hardpoint,Favela,AK-47,12,10,3,0.168,0,1150,12.0,Bronze,0,6,1.18,108.4,0.0,EU,Console,1,B
449457,58,2025-03-28 09:00:00,Hardpoint,Highrise,Shotgun,16,7,4,0.304,1,1860,25.0,Silver,1,6,2.12,138.3,1.48,EU,Console,1,B
765987,59,2025-09-15 02:00:00,Team Deathmatch,Verdansk,Sniper,14,12,4,0.186,1,1560,14.4,Diamond,1,5,1.15,197.6,5.33,APAC,Console,0,A
370936,60,2025-01-30 05:00:00,Hardpoint,Rust,MP5,12,9,3,0.342,1,1370,11.1,Diamond,0,6,1.3,80.8,0.0,APAC,Console,0,A
339931,61,2025-12-05 01:00:00,Team Deathmatch,Highrise,MP5,17,12,6,0.311,0,1760,8.2,Silver,1,5,1.38,197.8,0.0,,Console,0,B
339629,62,2025-10-12 09:00:00,Domination,Favela,MP5,15,9,1,0.256,1,1570,12.5,Gold,3,5,1.6,214.2,9.3,LATAM,Console,0,A
305041,63,2025-11-24 19:00:00,Domination,Terminal,Shotgun,16,6,3,0.541,1,1830,14.9,Gold,4,6,2.43,55.7,1.51,EU,PC,0,A
798361,64,2025-06-27 16:00:00,Hardpoint,Verdansk,Sniper,10,16,6,0.235,0,980,22.4,Gold,2,8,0.65,165.1,16.24,,Console,0,B
831912,65,2025-11-29 00:00:00,Domination,Terminal,Shotgun,17,8,3,0.27,1,1890,15.3,Gold,0,8,2.0,101.4,0.0,APAC,Console,0,A
517113,66,2025-12-06 10:00:00,Domination,Shipment,MP5,14,12,1,0.405,1,1410,13.5,Silver,0,4,1.15,49.0,0.0,,PC,1,A
168148,67,2025-11-21 00:00:00,Domination,Verdansk,Sniper,10,12,2,0.344,1,1060,16.5,Bronze,2,11,0.85,157.7,9.2,APAC,Console,1,B
877089,68,2025-12-23 14:00:00,Team Deathmatch,Verdansk,Shotgun,12,6,4,0.208,1,1480,5.0,Gold,1,6,1.86,140.6,2.08,APAC,PC,0,A
748531,69,2025-12-30 07:00:00,Team Deathmatch,Verdansk,AK-47,16,13,3,0.311,1,1690,6.7,Bronze,1,5,1.21,140.3,6.97,LATAM,Console,0,A
351995,70,2025-07-23 14:00:00,Team Deathmatch,Rust,MP5,11,12,6,0.36,1,1360,12.1,Diamond,3,6,0.92,125.8,2.8,LATAM,PC,0,A
778843,71,2025-06-13 23:00:00,Hardpoint,Highrise,Sniper,12,10,7,0.069,0,1350,13.1,Diamond,3,6,1.18,228.3,0.0,EU,Console,1,B
672843,72,2025-07-12 11:00:00,Search & Destroy,Shipment,LMG,14,11,2,0.248,0,1280,4.0,Diamond,0,6,1.25,134.1,0.0,EU,Console,1,B
356508,73,2025-08-05 07:00:00,Team Deathmatch,Rust,M4,8,11,4,0.426,1,980,20.5,Bronze,0,3,0.75,32.9,0.0,,Console,1,B
903591,74,2025-10-14 11:00:00,Team Deathmatch,Rust,M4,17,9,0,0.225,1,1720,8.8,Silver,1,4,1.8,106.8,8.18,EU,Console,0,B
996942,75,2025-11-24 08:00:00,Search & Destroy,Shipment,AK-47,20,12,4,0.399,0,1960,6.7,Gold,0,9,1.62,184.8,0.0,,Console,0,A
206530,76,2025-08-14 01:00:00,Domination,Terminal,AK-47,13,11,1,0.22,0,1130,14.5,Silver,0,4,1.17,231.8,0.0,,Console,1,A
704365,77,2025-05-06 22:00:00,Battle Royale,Favela,AK-47,7,12,2,0.297,1,760,21.0,Platinum,0,5,0.62,113.4,0.0,EU,PC,0,A
922352,78,2025-08-28 02:00:00,Search & Destroy,Highrise,MP5,18,13,3,0.287,0,1690,4.0,Silver,0,6,1.36,213.2,0.0,APAC,Console,1,A
560337,79,2025-09-07 08:00:00,Domination,Highrise,Shotgun,8,9,3,0.222,0,770,14.7,Bronze,1,1,0.9,65.1,0.79,LATAM,PC,0,A
824839,80,2025-03-15 18:00:00,Domination,Verdansk,Sniper,8,14,2,0.14,0,620,4.0,Silver,0,6,0.6,55.0,0.0,EU,PC,1,B
905889,81,2025-05-14 23:00:00,Hardpoint,Terminal,AK-47,10,12,3,0.346,1,1110,12.9,Silver,1,4,0.85,91.7,0.01,EU,PC,0,B
559773,82,2025-10-06 22:00:00,Team Deathmatch,Verdansk,Shotgun,13,13,5,0.233,0,1290,4.0,Silver,2,4,1.0,204.2,0.0,LATAM,Console,0,B
308261,83,2025-05-05 00:00:00,Team Deathmatch,Verdansk,Sniper,15,16,5,0.443,1,1630,8.2,Gold,3,6,0.94,58.9,1.97,EU,Console,1,B
864469,84,2025-06-05 17:00:00,Team Deathmatch,Terminal,M4,14,11,3,0.257,1,1530,12.9,Silver,2,7,1.25,83.5,0.0,,PC,1,B
441097,85,2025-02-01 08:00:00,Search & Destroy,Verdansk,AK-47,18,9,2,0.269,1,1920,16.0,Diamond,0,9,1.9,157.2,0.0,,PC,1,B
415139,86,2025-02-28 00:00:00,Hardpoint,Terminal,Shotgun,9,9,4,0.318,1,1120,15.5,Platinum,3,4,1.0,239.6,2.37,,Console,0,B
271829,87,2025-10-10 21:00:00,Team Deathmatch,Terminal,Sniper,12,8,1,0.219,0,1090,15.4,Platinum,2,8,1.44,156.0,1.12,,PC,1,A
371836,88,2025-01-29 05:00:00,Hardpoint,Favela,MP5,10,10,1,0.277,0,850,11.0,Bronze,4,7,1.0,133.0,0.0,EU,PC,1,A
538974,89,2025-01-05 09:00:00,Domination,Verdansk,M4,13,11,3,0.149,0,1230,10.6,Silver,2,13,1.17,172.3,0.51,LATAM,PC,1,A
302283,90,2025-07-18 01:00:00,Hardpoint,Verdansk,Shotgun,16,7,2,0.351,1,1760,13.7,Silver,0,7,2.12,66.3,0.0,EU,Console,0,A
296769,91,2025-03-23 02:00:00,Team Deathmatch,Terminal,AK-47,15,13,3,0.156,1,1590,11.0,Gold,0,8,1.14,42.3,0.0,,PC,0,B
661353,92,2025-08-20 00:00:00,Hardpoint,Favela,Shotgun,17,11,2,0.35,0,1580,12.2,Diamond,0,7,1.5,219.9,0.0,EU,Console,1,B
323165,93,2025-02-15 15:00:00,Battle Royale,Highrise,Sniper,14,8,2,0.254,1,1540,12.2,Platinum,0,6,1.67,167.6,0.0,,Console,1,B
723587,94,2025-10-19 01:00:00,Team Deathmatch,Highrise,AK-47,16,16,1,0.227,0,1330,16.1,Silver,0,5,1.0,99.7,0.0,APAC,PC,0,B
635822,95,2025-03-16 06:00:00,Domination,Rust,M4,16,14,1,0.244,1,1570,11.5,Bronze,1,5,1.13,83.3,0.0,EU,Console,1,B
587879,96,2025-07-09 05:00:00,Team Deathmatch,Rust,M4,13,12,0,0.316,1,1260,13.4,Gold,0,11,1.08,214.6,0.0,,Console,0,B
664685,97,2025-05-16 17:00:00,Team Deathmatch,Verdansk,AK-47,15,11,1,0.314,1,1530,11.6,Platinum,1,3,1.33,200.0,2.44,APAC,PC,1,A
882038,98,2025-09-16 21:00:00,Domination,Terminal,M4,14,11,2,0.246,1,1480,4.0,Platinum,1,1,1.25,102.3,4.19,EU,Console,1,B
453531,99,2025-07-22 21:00:00,Search & Destroy,Shipment,MP5,11,9,7,0.214,0,1270,13.8,Bronze,1,9,1.2,108.6,2.54,EU,Console,0,B
363160,100,2025-03-07 01:00:00,Battle Royale,Rust,MP5,10,10,3,0.184,1,1150,8.4,Platinum,1,6,1.0,140.9,0.0,,PC,0,B
679879,101,2025-06-16 22:00:00,Team Deathmatch,Verdansk,MP5,15,9,2,0.093,1,1620,12.1,Silver,0,5,1.6,64.2,0.0,APAC,Console,1,B
320884,102,2025-06-15 21:00:00,Hardpoint,Verdansk,Sniper,16,4,5,0.379,0,1770,11.3,Platinum,5,8,3.4,166.7,2.4,,Console,1,B
123247,103,2025-08-25 18:00:00,Hardpoint,Terminal,Shotgun,11,7,5,0.304,1,1410,13.9,Gold,0,8,1.5,129.5,0.0,LATAM,PC,1,A
124300,104,2025-08-29 22:00:00,Hardpoint,Terminal,LMG,14,11,4,0.38,1,1580,6.6,Silver,2,4,1.25,80.2,5.72,APAC,PC,0,B
567281,105,2025-02-09 07:00:00,Domination,Favela,AK-47,15,6,2,0.36,0,1480,17.7,Diamond,2,9,2.29,153.5,0.98,,Console,1,A
707086,106,2025-07-09 14:00:00,Team Deathmatch,Rust,MP5,12,6,3,0.362,0,1230,13.3,Diamond,0,9,1.86,223.1,0.0,EU,Console,0,A
633556,107,2025-01-26 00:00:00,Domination,Favela,M4,9,7,1,0.242,1,1010,11.1,Diamond,0,7,1.25,131.6,0.0,EU,Console,1,A
448951,108,2025-09-23 16:00:00,Domination,Shipment,M4,14,8,5,0.292,1,1690,12.4,Silver,1,6,1.67,136.9,5.55,APAC,Console,1,A
374329,109,2025-03-05 12:00:00,Search & Destroy,Terminal,Sniper,7,11,1,0.201,1,730,16.5,Bronze,0,3,0.67,180.5,0.0,APAC,Console,0,A
819064,110,2025-06-06 22:00:00,Search & Destroy,Rust,MP5,17,7,5,0.326,1,2010,12.2,Gold,1,2,2.25,126.9,1.83,EU,Console,0,B
842139,111,2025-01-11 10:00:00,Team Deathmatch,Verdansk,Sniper,18,9,3,0.294,1,1970,11.9,Platinum,4,11,1.9,124.1,1.18,APAC,PC,1,B
532315,112,2025-01-04 06:00:00,Team Deathmatch,Favela,MP5,11,13,2,0.319,1,1140,12.5,Platinum,1,12,0.86,51.6,0.52,EU,PC,0,B
616588,113,2025-05-11 03:00:00,Battle Royale,Terminal,M4,11,13,5,0.272,0,1090,15.5,Gold,1,5,0.86,69.9,20.59,,PC,0,A
336584,114,2025-10-22 08:00:00,Hardpoint,Shipment,Shotgun,8,15,6,0.372,1,1000,10.1,Gold,1,4,0.56,127.0,5.69,APAC,Console,1,B
662332,115,2025-12-17 17:00:00,Battle Royale,Rust,M4,14,8,4,0.239,0,1440,12.8,Diamond,0,9,1.67,89.6,0.0,,Console,1,A
937646,116,2025-02-20 09:00:00,Team Deathmatch,Favela,M4,9,12,6,0.204,0,960,12.9,Diamond,2,10,0.77,94.1,7.64,APAC,PC,1,B
476896,117,2025-08-03 17:00:00,Hardpoint,Shipment,AK-47,8,17,4,0.401,1,860,14.3,Gold,1,6,0.5,122.2,4.27,EU,Console,0,A
148984,118,2025-07-24 02:00:00,Hardpoint,Shipment,LMG,12,15,2,0.324,0,1000,16.0,Silver,2,4,0.81,102.7,3.47,,Console,1,B
402918,119,2025-04-01 18:00:00,Battle Royale,Favela,MP5,11,9,5,0.253,0,1170,12.3,Silver,0,4,1.2,157.5,0.0,,PC,0,A
364712,120,2025-11-14 02:00:00,Team Deathmatch,Verdansk,MP5,15,9,2,0.15,1,1620,10.1,Bronze,0,5,1.6,31.6,0.0,,PC,0,B
220151,121,2025-04-17 00:00:00,Team Deathmatch,Rust,Sniper,15,6,2,0.246,1,1680,14.7,Bronze,1,7,2.29,109.4,7.56,EU,PC,0,A
555808,122,2025-08-19 02:00:00,Domination,Terminal,Sniper,7,7,5,0.105,1,1010,5.7,Bronze,0,5,1.0,169.4,0.0,APAC,PC,0,A
233767,123,2025-04-09 18:00:00,Battle Royale,Highrise,Shotgun,14,8,3,0.205,1,1590,7.7,Bronze,1,5,1.67,284.0,2.86,EU,Console,1,A
748663,124,2025-05-17 17:00:00,Battle Royale,Highrise,MP5,11,5,8,0.243,0,1400,7.9,Bronze,0,8,2.0,150.9,0.0,EU,PC,0,B
803550,125,2025-07-16 06:00:00,Battle Royale,Rust,LMG,11,7,0,0.332,0,960,9.1,Platinum,1,8,1.5,70.7,4.65,EU,Console,1,A
236330,126,2025-01-14 16:00:00,Battle Royale,Verdansk,Shotgun,10,10,1,0.278,0,850,6.4,Silver,0,6,1.0,40.9,0.0,APAC,Console,1,B
580754,127,2025-08-21 11:00:00,Team Deathmatch,Favela,MP5,12,15,3,0.211,1,1250,15.8,Bronze,1,1,0.81,125.0,0.0,EU,Console,0,A
401648,128,2025-06-26 04:00:00,Team Deathmatch,Highrise,AK-47,8,10,2,0.375,1,900,10.6,Platinum,0,6,0.82,116.2,0.0,EU,Console,0,B
788519,129,2025-10-11 02:00:00,Team Deathmatch,Terminal,LMG,12,9,1,0.193,0,1070,5.1,Silver,2,8,1.3,37.2,0.05,EU,Console,1,A
113986,130,2025-01-06 00:00:00,Domination,Verdansk,Sniper,9,12,2,0.12,0,760,7.2,Silver,0,2,0.77,104.2,0.0,,PC,0,A
686146,131,2025-10-09 05:00:00,Search & Destroy,Verdansk,Sniper,17,11,1,0.35,0,1530,13.3,Bronze,0,9,1.5,206.7,0.0,,Console,0,A
229312,132,2025-02-10 04:00:00,Battle Royale,Terminal,Sniper,12,9,1,0.244,0,1070,5.5,Silver,0,3,1.3,60.7,0.0,,Console,0,A
112666,133,2025-06-26 00:00:00,Team Deathmatch,Verdansk,MP5,15,15,2,0.339,1,1500,12.4,Bronze,1,6,1.0,195.9,4.05,,PC,0,A
400804,134,2025-06-03 03:00:00,Hardpoint,Rust,M4,7,11,2,0.218,1,780,11.9,Bronze,0,8,0.67,35.0,0.0,EU,Console,0,A
234633,135,2025-08-26 06:00:00,Battle Royale,Shipment,AK-47,15,13,2,0.219,1,1540,11.4,Gold,1,5,1.14,140.0,4.57,APAC,PC,0,A
388998,136,2025-03-28 12:00:00,Domination,Terminal,MP5,13,12,4,0.183,1,1460,12.0,Silver,0,8,1.08,180.5,0.0,EU,PC,1,B
950937,137,2025-10-14 01:00:00,Team Deathmatch,Highrise,M4,21,7,1,0.295,0,2010,7.6,Bronze,0,6,2.75,189.5,0.0,APAC,Console,0,B
728776,138,2025-08-24 03:00:00,Domination,Terminal,MP5,14,8,4,0.335,0,1440,9.9,Bronze,1,3,1.67,83.3,0.91,EU,Console,0,B
807611,139,2025-12-22 04:00:00,Domination,Favela,Sniper,13,7,3,0.357,1,1510,6.9,Gold,0,7,1.75,149.7,0.0,,PC,1,A
384806,140,2025-08-07 17:00:00,Hardpoint,Favela,M4,19,9,2,0.398,0,1820,8.9,Bronze,0,4,2.0,38.4,0.0,,Console,0,B
894824,141,2025-02-24 20:00:00,Domination,Shipment,M4,18,12,1,0.322,1,1810,9.4,Diamond,0,11,1.46,89.8,0.0,APAC,PC,1,B
130535,142,2025-02-19 20:00:00,Team Deathmatch,Terminal,Shotgun,12,15,3,0.199,0,1050,9.6,Gold,2,9,0.81,182.0,0.95,,Console,1,B
475713,143,2025-05-13 02:00:00,Battle Royale,Verdansk,MP5,15,10,2,0.383,1,1600,10.5,Bronze,0,5,1.45,118.1,0.0,,Console,0,B
938688,144,2025-01-15 19:00:00,Hardpoint,Highrise,M4,9,10,1,0.292,0,750,13.1,Gold,1,7,0.91,88.3,0.0,,Console,0,A
451279,145,2025-01-02 04:00:00,Domination,Shipment,Shotgun,18,11,2,0.351,1,1880,11.5,Platinum,1,7,1.58,116.1,0.09,APAC,Console,1,A
921654,146,2025-02-12 05:00:00,Battle Royale,Terminal,Sniper,17,6,3,0.247,0,1730,10.4,Gold,3,3,2.57,138.9,0.0,,Console,1,A
701661,147,2025-03-26 08:00:00,Team Deathmatch,Shipment,AK-47,14,10,3,0.291,0,1350,8.4,Gold,2,6,1.36,105.3,1.28,EU,PC,0,B
747972,148,2025-12-20 18:00:00,Team Deathmatch,Rust,AK-47,18,9,5,0.291,1,2070,8.5,Diamond,0,7,1.9,97.2,0.0,EU,PC,1,B
589570,149,2025-09-01 07:00:00,Search & Destroy,Terminal,M4,16,12,2,0.192,0,1460,13.3,Bronze,0,2,1.31,112.5,0.0,,PC,0,A
556551,150,2025-08-30 07:00:00,Team Deathmatch,Favela,Shotgun,7,6,3,0.137,0,730,10.6,Platinum,2,2,1.14,136.4,1.19,,PC,0,A
373109,151,2025-02-01 10:00:00,Search & Destroy,Rust,MP5,4,8,1,0.246,0,290,11.3,Silver,0,7,0.56,5.0,0.0,,Console,0,A
124538,152,2025-06-05 15:00:00,Team Deathmatch,Rust,MP5,13,7,3,0.397,0,1310,17.7,Silver,0,4,1.75,156.4,0.0,,PC,1,A
994498,153,2025-02-21 14:00:00,Team Deathmatch,Verdansk,Shotgun,18,10,2,0.258,1,1900,7.3,Gold,0,7,1.73,79.4,0.0,,PC,1,A
301664,154,2025-03-21 10:00:00,Hardpoint,Highrise,M4,8,13,3,0.28,1,890,9.4,Silver,4,3,0.64,85.6,0.13,APAC,PC,1,A
591234,155,2025-11-05 07:00:00,Team Deathmatch,Rust,M4,12,4,0,0.275,0,1120,17.4,Bronze,0,5,2.6,178.0,0.0,,Console,0,B
999684,156,2025-11-28 17:00:00,Search & Destroy,Verdansk,M4,16,11,2,0.359,0,1480,11.3,Bronze,1,6,1.42,177.3,3.94,EU,PC,0,B
239182,157,2025-07-11 17:00:00,Hardpoint,Rust,M4,5,7,2,0.185,1,660,11.8,Gold,0,6,0.75,73.1,0.0,LATAM,PC,1,B
572525,158,2025-03-02 20:00:00,Battle Royale,Highrise,Sniper,9,7,2,0.345,1,1060,19.8,Bronze,2,4,1.25,69.2,2.65,,PC,1,A
258338,159,2025-11-16 13:00:00,Search & Destroy,Verdansk,Sniper,7,10,2,0.265,1,800,21.7,Silver,0,5,0.73,91.3,0.0,,PC,0,B
284064,160,2025-03-01 00:00:00,Team Deathmatch,Verdansk,M4,6,3,4,0.278,1,940,16.9,Bronze,3,10,1.75,84.0,14.06,EU,PC,1,A
314020,161,2025-11-20 14:00:00,Search & Destroy,Shipment,M4,12,18,5,0.315,1,1290,10.2,Silver,2,5,0.68,147.3,0.95,APAC,PC,1,B
723094,162,2025-03-01 12:00:00,Hardpoint,Favela,M4,13,8,3,0.275,1,1490,13.2,Bronze,0,3,1.56,106.7,0.0,APAC,Console,1,B
997421,163,2025-07-02 10:00:00,Hardpoint,Favela,LMG,12,7,4,0.303,0,1260,6.0,Diamond,0,9,1.62,102.7,0.0,EU,PC,1,B
715270,164,2025-11-10 17:00:00,Search & Destroy,Rust,Sniper,12,9,6,0.23,0,1320,12.4,Diamond,0,10,1.3,152.6,0.0,APAC,Console,1,B
